2026-02-24 11:15:12,538 | INFO | root | Headless run started. Log: C:\_GitHub_\PDS-Generator_from_excel\logs\pds_headless_20260224_111512.txt
2026-02-24 11:15:12,539 | INFO | root | Config: C:\Users\k.bober\.pds_generator\config.json
2026-02-24 11:15:12,543 | INFO | root | Excel: C:/TEST/PDS_GENERATOR/LISTA_DANYCH_PDS.xlsx
2026-02-24 11:15:12,936 | INFO | root | Counts: rows=9 tasks=None processed=None skipped=None
2026-02-24 11:15:13,215 | INFO | pds_generator.gui.pdf_export | Tracking mode=excel; tracked_columns=57; cache_rows=0; excel_rows=0; changed_rows=0/9
2026-02-24 11:15:16,089 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-24 11:15:16,849 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "HEAD /img/5904804578428_03.jpg HTTP/1.1" 200 0
2026-02-24 11:15:16,859 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-24 11:15:17,443 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "HEAD /img/5904804578428_15.jpg HTTP/1.1" 200 0
2026-02-24 11:15:17,446 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-24 11:15:17,968 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "HEAD /img/5904804578428_08.jpg HTTP/1.1" 200 0
2026-02-24 11:15:17,993 | WARNING | pds_generator.gui.pdf_export | Detected data quality warnings: 25 (sample: Wiersz 2: PDS_DANE:VOLUME 4 ma wartość 0 (<= 0) i jest oznaczone na czerwono., Wiersz 2: PDS_DANE:VOLUME 5 ma wartość 0 (<= 0) i jest oznaczone na czerwono., Wiersz 2: PDS_DANE:VOLUME 6 ma wartość 0 (<= 0) i jest oznaczone na czerwono.)
2026-02-24 11:15:17,993 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 2: PDS_DANE:VOLUME 4 ma wartość 0 (<= 0) i jest oznaczone na czerwono.
