2026-02-25 15:11:41,856 | INFO | root | Headless run started. Log: C:\_GitHub_\PDS-Generator_from_excel\logs\pds_headless_20260225_151141.txt
2026-02-25 15:11:41,913 | INFO | root | Config: C:\Users\k.bober\.pds_generator\config.json
2026-02-25 15:11:41,920 | INFO | root | Excel: G:/04_OFERTA/07 OFERTA EAN/PDS Generator/LISTA_DANYCH_PDS.xlsx
2026-02-25 15:11:42,911 | INFO | root | Counts: rows=9 tasks=None processed=None skipped=None
2026-02-25 15:11:43,419 | INFO | pds_generator.gui.pdf_export | Tracking mode=excel; tracked_columns=57; cache_rows=0; excel_rows=0; changed_rows=0/9
2026-02-25 15:11:43,449 | INFO | root | Counts: rows=9 tasks=9 processed=0 skipped=0
2026-02-25 15:11:43,451 | DEBUG | root | Progress indeterminate: False
2026-02-25 15:11:43,451 | INFO | root | Status: Sprawdzanie danych i generowanie PDF...
2026-02-25 15:11:43,453 | INFO | root | Generation started. Waiting for completion...
2026-02-25 15:11:43,453 | INFO | root | Status: Aktualizacja indeksu obrazów...
2026-02-25 15:11:43,736 | INFO | root | Status: Sprawdzanie danych i generowanie PDF...
2026-02-25 15:11:49,014 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-25 15:11:49,539 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "HEAD /img/5904804578428_03.jpg HTTP/1.1" 200 0
2026-02-25 15:11:49,543 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-25 15:11:50,022 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "HEAD /img/5904804578428_08.jpg HTTP/1.1" 200 0
2026-02-25 15:11:50,029 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-25 15:11:50,540 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "HEAD /img/5904804578428_15.jpg HTTP/1.1" 200 0
2026-02-25 15:11:50,596 | WARNING | pds_generator.gui.pdf_export | Detected data quality warnings: 40 (sample: Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_1: test.jpg, Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_2: test.jpg, Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_3: test.jpg)
2026-02-25 15:11:50,642 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_1: test.jpg
2026-02-25 15:11:50,644 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_2: test.jpg
2026-02-25 15:11:50,646 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_3: test.jpg
2026-02-25 15:11:50,647 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_4: test.jpg
2026-02-25 15:11:50,649 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_5: test.jpg
2026-02-25 15:11:50,651 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 1: nie znaleziono pliku obrazu dla pola PDS_DANE:PIC_COLOR_6: test.jpg
2026-02-25 15:11:50,657 | WARNING | pds_generator.gui.pdf_export | Data warning: Wiersz 2: PDS_DANE:VOLUME 4 ma wartość 0 (<= 0) i jest oznaczone na czerwono.
