2026-01-30 15:42:23,355 | DEBUG | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2026-01-30 15:42:23,355 | DEBUG | PIL.PngImagePlugin | STREAM b'pHYs' 41 9
2026-01-30 15:42:23,355 | DEBUG | PIL.PngImagePlugin | STREAM b'sRGB' 62 1
2026-01-30 15:42:23,355 | DEBUG | PIL.PngImagePlugin | STREAM b'gAMA' 75 4
2026-01-30 15:42:23,355 | DEBUG | PIL.PngImagePlugin | STREAM b'IDAT' 91 6286
2026-01-30 15:42:24,914 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): api.github.com:443
2026-01-30 15:42:25,498 | DEBUG | urllib3.connectionpool | https://api.github.com:443 "GET /repos/NefilimPL/PDS-Generator_from_excel/commits/MAIN HTTP/1.1" 200 3829
2026-01-30 15:42:50,432 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:42:50,991 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_03.jpg HTTP/1.1" 200 513057
2026-01-30 15:42:53,447 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:42:53,953 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_08.jpg HTTP/1.1" 200 1930660
2026-01-30 15:42:54,193 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:42:54,768 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_15.jpg HTTP/1.1" 200 167213
2026-01-30 15:44:27,002 | INFO | pds_generator.gui.pdf_export | Tracking mode=excel; tracked_columns=31; cache_rows=0; excel_rows=0; changed_rows=0/56
2026-01-30 15:44:34,701 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:35,219 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_15.jpg HTTP/1.1" 200 167213
2026-01-30 15:44:35,267 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:35,939 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_08.jpg HTTP/1.1" 200 1930660
2026-01-30 15:44:36,263 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:36,814 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_03.jpg HTTP/1.1" 200 513057
2026-01-30 15:44:39,888 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:40,339 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_15.jpg HTTP/1.1" 200 167213
2026-01-30 15:44:40,393 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:40,925 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_08.jpg HTTP/1.1" 200 1930660
2026-01-30 15:44:41,139 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:41,637 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_03.jpg HTTP/1.1" 200 513057
2026-01-30 15:44:43,453 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:43,908 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_15.jpg HTTP/1.1" 200 167213
2026-01-30 15:44:43,972 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:44,503 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_08.jpg HTTP/1.1" 200 1930660
2026-01-30 15:44:44,753 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-01-30 15:44:45,211 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_03.jpg HTTP/1.1" 200 513057
