2026-02-25 15:15:27,052 | DEBUG | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2026-02-25 15:15:27,052 | DEBUG | PIL.PngImagePlugin | STREAM b'pHYs' 41 9
2026-02-25 15:15:27,052 | DEBUG | PIL.PngImagePlugin | STREAM b'sRGB' 62 1
2026-02-25 15:15:27,052 | DEBUG | PIL.PngImagePlugin | STREAM b'gAMA' 75 4
2026-02-25 15:15:27,053 | DEBUG | PIL.PngImagePlugin | STREAM b'IDAT' 91 6286
2026-02-25 15:15:29,555 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): api.github.com:443
2026-02-25 15:15:30,326 | DEBUG | urllib3.connectionpool | https://api.github.com:443 "GET /repos/NefilimPL/PDS-Generator_from_excel/commits/MAIN HTTP/1.1" 200 1823
2026-02-25 15:15:30,329 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): raw.githubusercontent.com:443
2026-02-25 15:15:31,013 | DEBUG | urllib3.connectionpool | https://raw.githubusercontent.com:443 "GET /NefilimPL/PDS-Generator_from_excel/MAIN/VERSION HTTP/1.1" 200 27
2026-02-25 15:15:51,748 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-25 15:15:51,750 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-25 15:15:51,752 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-02-25 15:15:53,244 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_08.jpg HTTP/1.1" 200 1930660
2026-02-25 15:15:53,247 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_03.jpg HTTP/1.1" 200 513057
2026-02-25 15:15:53,251 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_15.jpg HTTP/1.1" 200 167213
