2026-03-11 14:08:59,672 | DEBUG | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2026-03-11 14:08:59,672 | DEBUG | PIL.PngImagePlugin | STREAM b'pHYs' 41 9
2026-03-11 14:08:59,673 | DEBUG | PIL.PngImagePlugin | STREAM b'sRGB' 62 1
2026-03-11 14:08:59,673 | DEBUG | PIL.PngImagePlugin | STREAM b'gAMA' 75 4
2026-03-11 14:08:59,673 | DEBUG | PIL.PngImagePlugin | STREAM b'IDAT' 91 6286
2026-03-11 14:09:01,648 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): api.github.com:443
2026-03-11 14:09:02,218 | DEBUG | urllib3.connectionpool | https://api.github.com:443 "GET /repos/NefilimPL/PDS-Generator_from_excel/commits/MAIN HTTP/1.1" 200 10514
2026-03-11 14:09:09,269 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-03-11 14:09:09,272 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-03-11 14:09:09,274 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): xml.wipmebgroup.pl:443
2026-03-11 14:09:11,042 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_03.jpg HTTP/1.1" 200 513057
2026-03-11 14:09:11,048 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_15.jpg HTTP/1.1" 200 167213
2026-03-11 14:09:11,071 | DEBUG | urllib3.connectionpool | https://xml.wipmebgroup.pl:443 "GET /img/5904804578428_08.jpg HTTP/1.1" 200 1930660
2026-03-11 14:09:17,172 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): login.microsoftonline.com:443
2026-03-11 14:09:17,908 | DEBUG | urllib3.connectionpool | https://login.microsoftonline.com:443 "POST /2f91b825-8750-460f-baf9-6529335a23a8/oauth2/v2.0/token HTTP/1.1" 200 2080
2026-03-11 14:09:17,910 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): graph.microsoft.com:443
2026-03-11 14:09:18,524 | DEBUG | urllib3.connectionpool | https://graph.microsoft.com:443 "GET /v1.0/applications(appId='37d6945f-177c-4f07-8394-0ef4fad39058')?%24select=appId%2CdisplayName%2CpasswordCredentials HTTP/1.1" 200 None
