2026-02-24 10:55:47,216 | DEBUG | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2026-02-24 10:55:47,216 | DEBUG | PIL.PngImagePlugin | STREAM b'pHYs' 41 9
2026-02-24 10:55:47,216 | DEBUG | PIL.PngImagePlugin | STREAM b'sRGB' 62 1
2026-02-24 10:55:47,216 | DEBUG | PIL.PngImagePlugin | STREAM b'gAMA' 75 4
2026-02-24 10:55:47,216 | DEBUG | PIL.PngImagePlugin | STREAM b'IDAT' 91 6286
2026-02-24 10:55:47,446 | WARNING | pds_generator.gui.mailer | Failed to decrypt shared-encrypted secret from config.
2026-02-24 10:55:47,447 | WARNING | pds_generator.gui.mailer | Failed to decrypt shared-encrypted secret from config.
2026-02-24 10:55:49,201 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): api.github.com:443
2026-02-24 10:55:50,183 | DEBUG | urllib3.connectionpool | https://api.github.com:443 "GET /repos/NefilimPL/PDS-Generator_from_excel/commits/MAIN HTTP/1.1" 200 None
